# timestamp x y z qx qy qz qw num_features num_matches num_inliers
1336387011.442605019 -3.38817 3.68934 0.315888 0.0617415 0.0462695 -0.782392 0.617988 282 60 57
1336387011.541842937 -3.39111 3.69631 0.314812 0.0606614 0.0445254 -0.78521 0.614641 291 60 57
1336387011.641078949 -3.39114 3.70588 0.313058 0.0606903 0.0433832 -0.787935 0.611222 297 74 70
1336387011.740314960 -3.3948 3.71655 0.314575 0.059793 0.043831 -0.790932 0.607396 287 55 54
1336387011.839551926 -3.38485 3.7217 0.307453 0.0618752 0.0398665 -0.794027 0.60341 299 67 60
1336387011.938789845 -3.38508 3.72804 0.305496 0.0613197 0.0396451 -0.796699 0.599949 284 59 54
1336387012.038025856 -3.37779 3.73377 0.301201 0.0629851 0.0380627 -0.799227 0.596506 281 65 58
1336387012.137264013 -3.37484 3.74297 0.29667 0.0643321 0.0386283 -0.802015 0.592572 287 67 59
1336387012.236500978 -3.36169 3.75006 0.290042 0.0680455 0.0367608 -0.805058 0.588132 287 68 64
1336387012.335736990 -3.3608 3.75519 0.287778 0.0682705 0.03748 -0.807986 0.584032 285 68 58
1336387012.434973955 -3.35903 3.75952 0.284251 0.0690931 0.0383209 -0.810569 0.58029 295 71 63
1336387012.534210920 -3.36617 3.76671 0.284049 0.0681917 0.0421893 -0.812964 0.576767 306 66 61
1336387012.633447886 -3.35068 3.76637 0.274683 0.0724489 0.0392022 -0.814961 0.573631 308 71 63
1336387012.732686996 -3.34644 3.7662 0.270404 0.0737825 0.038941 -0.816805 0.57085 313 79 71
1336387012.831922054 -3.36195 3.77707 0.275003 0.0714443 0.0460697 -0.818838 0.567695 312 70 65
1336387012.931159019 -3.35411 3.77533 0.269741 0.0737979 0.0449085 -0.820179 0.565548 316 71 64
1336387013.030395985 -3.34607 3.77566 0.263994 0.0764033 0.0441765 -0.82148 0.563366 314 71 65
1336387013.129632950 -3.34591 3.7793 0.263802 0.0771307 0.0458478 -0.82295 0.560983 295 64 59
1336387013.228869915 -3.35013 3.78087 0.263359 0.0766485 0.0476923 -0.824118 0.559178 301 78 69
1336387013.328106880 -3.35223 3.78454 0.262049 0.0768364 0.049377 -0.825285 0.557281 312 77 66
1336387013.427342892 -3.33752 3.77793 0.255978 0.0798225 0.0448018 -0.825693 0.556644 304 78 66
1336387013.526581049 -3.33556 3.78319 0.25441 0.0810962 0.0458064 -0.826345 0.55541 333 79 72
1336387013.625816822 -3.34456 3.78483 0.257442 0.0783829 0.0478335 -0.826867 0.55485 322 74 65
1336387013.725054026 -3.34463 3.78388 0.255545 0.0775052 0.0471391 -0.827312 0.554369 297 70 63
1336387013.824290991 -3.33277 3.78576 0.251659 0.0799414 0.0445938 -0.82788 0.553385 306 77 68
1336387013.923528910 -3.33374 3.7871 0.250803 0.0788744 0.0444421 -0.828369 0.552819 295 74 68
1336387014.022764921 -3.32534 3.78748 0.248451 0.0794525 0.0418307 -0.829683 0.550966 372 85 74
1336387014.122001886 -3.32119 3.79319 0.24845 0.079462 0.0416073 -0.831145 0.548774 400 85 79
1336387014.221237898 -3.33028 3.80168 0.252687 0.0758329 0.0445829 -0.833397 0.545629 424 83 76
1336387014.320477962 -3.31136 3.80312 0.246422 0.0786698 0.0399754 -0.83549 0.542374 416 90 84
1336387014.419713020 -3.30466 3.81002 0.246018 0.0787233 0.0392297 -0.838089 0.538396 417 97 87
1336387014.518949986 -3.29832 3.81139 0.245113 0.0777573 0.0369347 -0.84082 0.534427 454 104 96
1336387014.618186951 -3.29488 3.82496 0.246072 0.0777687 0.0384675 -0.843952 0.529355 462 110 102
1336387014.717423916 -3.28984 3.83267 0.24747 0.0770745 0.0379168 -0.847259 0.524189 456 111 103
1336387014.816660881 -3.2796 3.84122 0.245895 0.0781891 0.0366197 -0.850535 0.518783 452 102 97
1336387014.915896893 -3.2782 3.85006 0.248419 0.0766923 0.0370225 -0.854125 0.513049 487 119 114
1336387015.015133858 -3.26947 3.86195 0.24703 0.078074 0.036904 -0.857513 0.507162 479 121 109
1336387015.114370823 -3.26696 3.87031 0.249304 0.0769187 0.0368575 -0.861182 0.50109 483 107 100
1336387015.213608027 -3.25432 3.87566 0.247002 -0.0784588 -0.0340175 0.864726 -0.49491 457 120 109
1336387015.312844992 -3.252 3.88417 0.249243 -0.0776575 -0.0341044 0.868374 -0.488603 472 106 101
